time_of_day,subject_type,session_duration_inmin,breaks_taken_count,day_of_week,Normalized_focus_Score
Evening,DBMS,51.1,6,Sunday,52.08
Night,Java,46.6,2,Saturday,40.96
Morning,Ai,29.4,4,Thursday,70.09
Evening,Java,76.8,7,Friday,64.32
Evening,Java,62.4,6,Wednesday,56.96
Night,DBMS,105.2,9,Friday,46.03
Morning,Aptitude,13.5,7,Saturday,51.26
Morning,Operating Systems,80.8,1,Thursday,60.22
Evening,DBMS,93.9,6,Saturday,58.04
Afternoon,Machine Learning,93.5,3,Monday,38.34
Evening,DBMS,107.5,8,Sunday,55.01
Evening,Machine Learning,90.2,1,Tuesday,56.44
Evening,Java,112.1,10,Tuesday,58.45
Evening,Ai,46.6,2,Saturday,48.73
Night,DBMS,65.4,3,Tuesday,43.39
Morning,Machine Learning,11.5,3,Tuesday,54.9
Night,DBMS,10.8,7,Thursday,54.95
Night,Ai,36.4,8,Tuesday,52.79
Night,Java,21.1,9,Thursday,46.86
Evening,DBMS,38.6,7,Monday,55.17
Afternoon,DSA,29.5,8,Wednesday,48.96
Morning,Machine Learning,13.1,6,Wednesday,56.43
Afternoon,Ai,110.0,2,Wednesday,40.6
Night,Machine Learning,10.9,1,Sunday,40.2
Night,Machine Learning,91.0,3,Thursday,53.14
Afternoon,Python,26.7,9,Thursday,53.47
Afternoon,Ai,110.3,7,Thursday,46.91
Afternoon,DBMS,108.2,2,Monday,51.3
Night,Machine Learning,81.9,1,Friday,41.9
Night,Aptitude,83.9,2,Thursday,40.02
Morning,Python,10.6,3,Thursday,56.4
Morning,DSA,118.3,6,Wednesday,59.18
Night,Machine Learning,106.6,9,Saturday,32.69
Afternoon,Java,108.5,8,Sunday,47.08
Afternoon,Machine Learning,82.5,10,Tuesday,47.57
Morning,Python,47.9,9,Tuesday,65.6
Night,DBMS,108.3,8,Monday,44.2
Morning,Aptitude,42.1,7,Tuesday,54.74
Morning,Java,71.9,6,Friday,60.77
Evening,DSA,21.0,8,Wednesday,59.22
Evening,Java,111.4,6,Monday,52.36
Evening,Machine Learning,25.5,2,Tuesday,61.03
Afternoon,DBMS,34.7,9,Tuesday,50.58
Night,Ai,71.4,9,Saturday,40.21
Night,Aptitude,94.1,3,Wednesday,41.87
Night,Ai,78.1,9,Monday,45.98
Night,Aptitude,35.5,2,Wednesday,44.53
Evening,DSA,10.1,3,Monday,47.57
Afternoon,Operating Systems,93.3,6,Sunday,54.96
Afternoon,Aptitude,118.4,4,Sunday,45.32
Evening,Operating Systems,99.1,8,Tuesday,62.92
Afternoon,Ai,60.6,1,Wednesday,44.54
Evening,Aptitude,109.4,6,Wednesday,59.81
Night,DSA,55.1,2,Friday,50.78
Evening,Python,67.7,6,Sunday,60.36
Night,DSA,62.5,1,Saturday,43.0
Night,DSA,59.2,2,Wednesday,48.98
Morning,Python,95.3,9,Monday,64.34
Evening,Python,67.9,6,Friday,51.85
Morning,DBMS,44.8,8,Wednesday,62.07
Evening,Aptitude,38.4,7,Wednesday,49.55
Evening,Ai,14.2,9,Friday,48.87
Morning,DBMS,74.2,9,Tuesday,61.4
Morning,Python,35.3,4,Wednesday,59.05
Evening,Operating Systems,26.3,7,Thursday,62.95
Afternoon,Ai,81.9,5,Saturday,55.42
Night,Operating Systems,84.9,7,Tuesday,58.69
Morning,DSA,92.7,4,Wednesday,52.18
Night,Machine Learning,65.4,10,Tuesday,37.35
Afternoon,DSA,108.3,1,Monday,53.34
Afternoon,DSA,113.0,4,Tuesday,47.42
Afternoon,Machine Learning,98.8,10,Friday,44.38
Morning,Aptitude,79.9,3,Wednesday,58.08
Afternoon,Python,43.4,9,Tuesday,51.64
Morning,Operating Systems,118.1,5,Thursday,63.31
Afternoon,DSA,40.2,4,Monday,39.93
Night,Machine Learning,32.3,8,Monday,45.04
Night,DBMS,58.6,5,Sunday,41.04
Evening,DSA,16.3,3,Tuesday,50.04
Night,Operating Systems,117.6,2,Friday,51.94
Evening,Python,74.7,8,Monday,54.85
Night,DSA,71.3,2,Sunday,39.28
Morning,DSA,82.1,8,Tuesday,57.6
Night,Aptitude,64.7,5,Tuesday,52.81
Evening,Java,13.5,8,Monday,55.54
Evening,Machine Learning,77.4,5,Tuesday,52.65
Afternoon,DBMS,88.8,1,Tuesday,54.42
Morning,DBMS,55.8,2,Saturday,45.83
Night,Ai,93.3,6,Thursday,46.01
Afternoon,Python,35.0,3,Tuesday,53.09
Night,Ai,34.3,8,Saturday,46.14
Night,Operating Systems,27.8,5,Saturday,43.47
Afternoon,Python,50.9,3,Tuesday,46.35
Afternoon,DSA,103.2,10,Friday,40.71
Afternoon,Java,101.1,7,Monday,53.19
Afternoon,DSA,52.1,8,Saturday,43.54
Afternoon,DBMS,74.8,4,Saturday,45.36
Night,Operating Systems,89.3,9,Sunday,37.71
Afternoon,Machine Learning,36.5,6,Friday,48.07
Morning,Operating Systems,28.5,1,Wednesday,59.64
Evening,DSA,116.9,5,Friday,47.89
Afternoon,Machine Learning,77.9,5,Sunday,48.85
Afternoon,Operating Systems,118.0,7,Wednesday,46.43
Night,Java,47.2,7,Wednesday,52.13
Afternoon,Java,87.3,6,Friday,51.06
Afternoon,Operating Systems,34.5,8,Thursday,49.56
Afternoon,Machine Learning,38.7,2,Friday,40.46
Night,DSA,66.3,7,Saturday,43.7
Afternoon,Operating Systems,45.2,10,Monday,49.8
Evening,Machine Learning,28.4,7,Friday,53.86
Night,Aptitude,38.9,4,Thursday,51.58
Evening,Java,13.9,10,Friday,59.35
Night,Aptitude,87.5,2,Thursday,50.57
Afternoon,DSA,64.1,4,Monday,36.94
Evening,Machine Learning,20.4,4,Tuesday,51.95
Night,Aptitude,28.9,6,Thursday,37.04
Morning,Machine Learning,21.3,7,Thursday,60.36
Afternoon,Operating Systems,77.4,3,Saturday,37.59
Night,DSA,20.4,10,Thursday,49.27
Morning,Aptitude,93.0,1,Monday,67.85
Night,Ai,12.3,3,Wednesday,44.08
Morning,Operating Systems,37.4,9,Thursday,61.71
Afternoon,Java,108.0,1,Sunday,54.76
Evening,Ai,89.0,8,Monday,65.44
Morning,Ai,18.0,2,Saturday,65.43
Night,Python,100.3,6,Sunday,46.69
Afternoon,Python,64.2,3,Saturday,57.07
Morning,DSA,103.1,7,Tuesday,54.17
Night,Aptitude,76.1,2,Thursday,41.58
Night,Aptitude,85.0,4,Wednesday,49.68
Night,Aptitude,119.3,10,Monday,45.14
Morning,Machine Learning,35.6,9,Tuesday,61.37
Morning,Operating Systems,78.6,6,Wednesday,64.58
Morning,Aptitude,60.6,4,Tuesday,64.65
Evening,Operating Systems,14.3,2,Wednesday,45.74
Morning,DSA,11.6,10,Friday,62.41
Morning,Ai,23.1,9,Friday,56.84
Morning,Aptitude,81.4,4,Friday,61.28
Evening,DSA,72.4,9,Tuesday,51.78
Morning,Aptitude,70.9,2,Friday,57.89
Night,Python,13.5,7,Monday,43.9
Morning,DBMS,61.6,5,Monday,63.8
Night,DSA,111.7,8,Friday,43.16
Night,Aptitude,53.7,8,Wednesday,43.75
Night,Java,78.7,4,Wednesday,43.34
Evening,DBMS,95.8,4,Tuesday,57.94
Evening,DSA,96.2,8,Wednesday,49.73
Evening,Java,67.1,3,Sunday,59.95
Morning,Java,104.4,7,Sunday,53.72
Night,Machine Learning,53.1,8,Sunday,37.81
Evening,Java,107.8,8,Thursday,55.11
Evening,Aptitude,36.4,10,Wednesday,57.37
Morning,Machine Learning,40.8,4,Monday,57.08
